iter	RMSE
0	14.85485443
1	14.46347248
2	14.06789468
3	13.6953664
4	13.34898332
5	13.04683849
6	12.7439065
7	12.45878096
8	12.18802193
9	11.88871829
10	11.59170564
11	11.35981304
12	11.08493094
13	10.83813102
14	10.59328732
15	10.3493614
16	10.13092358
17	9.923217439
18	9.707378722
19	9.52414038
20	9.351648806
21	9.175936396
22	9.002545925
23	8.8319668
24	8.677138278
25	8.537460103
26	8.390781712
27	8.268443652
28	8.13579174
29	8.016164256
30	7.911224564
31	7.788378448
32	7.675275877
33	7.57324512
34	7.464836623
35	7.369404486
36	7.271351266
37	7.192221036
38	7.101241626
39	7.019861796
40	6.946107402
41	6.868012974
42	6.787850914
43	6.719177577
44	6.653425962
45	6.590608477
46	6.520391098
47	6.463372286
48	6.402969485
49	6.351586677
50	6.300855126
51	6.251972722
52	6.204574592
53	6.157313723
54	6.115970132
55	6.072073055
56	6.03507911
57	5.997541629
58	5.959973285
59	5.929443896
60	5.896417332
61	5.867958621
62	5.838826786
63	5.80792912
64	5.77753167
65	5.751429001
66	5.724406469
67	5.700888098
68	5.675940739
69	5.652659097
70	5.626641988
71	5.605581367
72	5.586750328
73	5.56325652
74	5.545413639
75	5.528494863
76	5.51092958
77	5.49386321
78	5.477620085
79	5.459868982
80	5.442014923
81	5.427054408
82	5.411720717
83	5.394984818
84	5.381242278
85	5.362196254
86	5.348472223
87	5.339657852
88	5.328568907
89	5.31701431
90	5.304188874
91	5.295101978
92	5.281409957
93	5.271991055
94	5.261204634
95	5.251893891
96	5.242944226
97	5.233555885
98	5.222516722
99	5.211886592
100	5.202653527
101	5.19395555
102	5.185192174
103	5.175638114
104	5.167128971
105	5.153644642
106	5.14610431
107	5.140812781
108	5.13265049
109	5.126981709
110	5.121611552
111	5.112142471
112	5.105861982
113	5.095736161
114	5.088273757
115	5.081434116
116	5.077159933
117	5.071559585
118	5.064263663
119	5.059444856
120	5.052378194
121	5.047718154
122	5.04372344
123	5.039119852
124	5.03406327
125	5.027957872
126	5.024867767
127	5.01783485
128	5.013505881
129	5.010963173
130	5.006730391
131	5.002644101
132	4.992404152
133	4.985940632
134	4.981664288
135	4.975375436
136	4.970594574
137	4.965811575
138	4.961584705
139	4.955047644
140	4.95143826
141	4.949771671
142	4.942373245
143	4.93461855
144	4.93180595
145	4.929516581
146	4.926682498
147	4.923840765
148	4.919979956
149	4.915704634
150	4.911958495
151	4.907040236
152	4.900910458
153	4.892900358
154	4.889391143
155	4.887746479
