iter	Passed	Remaining
0	142	142528
1	143	71718
2	144	48122
3	145	36239
4	146	29154
5	147	24426
6	148	21019
7	148	18472
8	149	16489
9	150	14902
10	151	13591
11	152	12515
12	152	11607
13	154	10882
14	155	10197
15	156	9644
16	157	9105
17	158	8629
18	159	8210
19	159	7826
20	160	7476
21	161	7170
22	162	6897
23	163	6639
24	164	6408
25	165	6190
26	166	5987
27	167	5799
28	168	5633
29	169	5469
30	170	5320
31	171	5176
32	171	5039
33	172	4910
34	173	4788
35	174	4674
36	175	4568
37	176	4459
38	176	4360
39	178	4274
40	178	4184
41	179	4098
42	180	4016
43	181	3941
44	182	3877
45	183	3812
46	184	3748
47	186	3689
48	187	3630
49	188	3573
50	189	3522
51	190	3472
52	191	3418
53	192	3365
54	192	3312
55	193	3262
56	194	3219
57	195	3171
58	195	3125
59	197	3087
60	198	3050
61	198	3009
62	199	2969
63	200	2930
64	201	2892
65	202	2862
66	202	2826
67	203	2792
68	204	2759
69	205	2727
70	206	2696
71	207	2668
72	207	2640
73	208	2612
74	209	2584
75	210	2556
76	211	2532
77	212	2509
78	213	2485
79	214	2462
80	214	2438
81	215	2412
82	216	2390
83	217	2367
84	217	2345
85	218	2324
86	219	2302
87	220	2282
88	221	2265
89	222	2248
90	223	2230
91	224	2212
92	225	2196
93	226	2180
94	226	2162
95	227	2145
96	228	2129
97	229	2114
98	230	2098
99	231	2081
100	232	2065
101	233	2052
102	234	2039
103	235	2025
104	235	2010
105	236	1997
106	237	1983
107	238	1969
108	239	1955
109	240	1943
110	241	1930
111	241	1917
112	242	1902
113	243	1888
114	243	1876
115	245	1868
116	246	1857
117	247	1846
118	247	1834
119	249	1827
120	249	1816
121	251	1809
122	252	1800
123	253	1790
124	254	1779
125	255	1769
126	255	1758
127	256	1749
128	257	1740
129	258	1730
130	259	1719
131	260	1710
132	260	1701
133	261	1692
134	262	1683
135	263	1671
136	264	1667
137	266	1662
138	267	1655
139	268	1646
140	268	1637
141	269	1628
142	270	1620
143	271	1612
144	272	1604
145	273	1597
146	273	1588
147	274	1581
148	275	1573
149	276	1565
150	276	1555
151	277	1547
152	278	1540
153	279	1532
154	279	1524
155	280	1518
156	281	1511
157	282	1504
158	283	1497
159	283	1490
160	284	1483
161	285	1477
162	286	1470
163	287	1463
164	287	1454
165	288	1448
166	289	1442
167	289	1434
168	290	1427
169	291	1421
170	292	1418
171	293	1412
172	294	1406
173	295	1400
174	295	1394
175	296	1388
176	297	1382
177	298	1377
178	299	1371
179	299	1366
180	300	1360
181	301	1354
182	302	1349
183	303	1343
184	303	1338
185	304	1333
186	305	1328
187	306	1322
188	306	1316
189	307	1312
190	308	1307
191	309	1303
192	310	1298
193	311	1293
194	312	1289
195	313	1284
196	313	1279
197	314	1275
198	315	1270
199	316	1266
200	317	1261
201	318	1256
202	318	1251
203	319	1246
204	320	1241
205	320	1236
206	321	1230
207	322	1227
208	323	1223
209	324	1219
210	325	1215
211	325	1211
212	326	1206
213	327	1203
214	328	1198
215	329	1194
216	330	1191
217	331	1187
218	331	1183
219	332	1179
220	333	1174
221	333	1169
222	334	1166
223	335	1161
224	336	1158
225	337	1155
226	338	1151
227	338	1146
228	339	1142
229	340	1139
230	341	1135
231	341	1131
232	342	1128
233	343	1125
234	344	1122
235	345	1118
236	346	1115
237	347	1114
238	348	1110
239	349	1106
240	350	1103
241	351	1099
242	351	1096
243	352	1093
244	353	1090
245	354	1086
246	355	1083
247	356	1080
248	356	1076
249	357	1073
250	358	1070
251	359	1067
252	360	1063
253	361	1060
254	361	1056
255	362	1053
256	363	1049
257	364	1047
258	365	1044
259	366	1042
260	367	1039
261	368	1037
262	369	1034
263	370	1031
264	371	1031
265	372	1028
266	373	1025
267	374	1023
268	375	1020
269	376	1017
270	377	1015
271	378	1012
272	379	1010
273	381	1011
274	383	1010
275	385	1011
276	386	1008
277	387	1006
278	388	1003
279	389	1000
280	389	997
281	390	995
282	391	991
283	392	990
284	393	987
285	394	984
286	395	981
287	396	980
288	397	977
289	398	975
290	399	972
291	400	970
292	400	967
293	401	964
294	402	961
295	403	959
296	404	956
297	404	953
298	405	951
299	406	948
300	407	946
301	408	943
302	408	940
303	409	937
304	410	935
305	411	932
306	412	930
307	412	927
308	413	924
309	414	923
310	415	920
311	416	917
312	416	914
313	417	912
314	418	909
315	419	906
316	419	904
317	420	902
318	421	899
319	422	896
320	423	894
321	423	892
322	424	889
323	425	887
324	426	885
325	427	883
326	427	880
327	428	878
328	429	875
329	430	873
330	430	870
331	431	868
332	432	865
333	432	863
334	433	860
335	434	858
336	435	857
337	436	854
338	437	852
339	437	850
340	438	848
341	439	845
342	440	843
343	441	841
344	441	839
345	442	836
346	443	834
347	444	832
348	444	829
349	445	827
350	446	826
351	447	824
352	448	821
353	449	819
354	450	817
355	450	815
