iter	Passed	Remaining
0	74	74375
1	75	37494
2	75	25203
3	76	19026
4	77	15324
5	77	12866
6	78	11097
7	78	9776
8	79	8746
9	80	7926
10	80	7260
11	81	6709
12	82	6231
13	82	5822
14	83	5468
15	84	5168
16	84	4895
17	85	4653
18	85	4435
19	86	4237
20	87	4058
21	87	3902
22	88	3753
23	88	3619
24	89	3496
25	90	3380
26	90	3272
27	91	3174
28	92	3082
29	92	2998
30	93	2919
31	94	2843
32	94	2773
33	95	2718
34	96	2664
35	97	2613
36	98	2568
37	99	2519
38	100	2472
39	101	2427
40	101	2385
41	102	2345
42	103	2305
43	104	2267
44	105	2229
45	106	2199
46	106	2166
47	107	2131
48	108	2098
49	108	2066
50	109	2036
51	110	2006
52	110	1975
53	111	1947
54	111	1920
55	112	1894
56	113	1869
57	113	1845
58	114	1820
59	114	1796
60	115	1774
61	115	1752
62	116	1734
63	117	1717
64	118	1698
65	118	1683
66	119	1667
67	120	1653
68	121	1638
69	122	1622
70	122	1607
71	123	1594
72	124	1582
73	125	1569
74	126	1557
75	127	1547
76	128	1536
77	128	1523
78	129	1511
79	130	1499
80	131	1487
81	131	1477
82	132	1462
83	133	1451
84	133	1440
85	134	1429
86	135	1419
87	136	1409
88	136	1400
89	137	1390
90	138	1380
91	138	1370
92	139	1361
93	140	1352
94	141	1344
95	141	1336
96	142	1327
97	143	1320
98	144	1313
99	145	1305
100	145	1299
101	146	1292
102	147	1284
103	148	1278
104	149	1271
105	149	1264
106	151	1264
107	152	1256
108	152	1250
109	153	1244
110	154	1238
111	155	1232
112	156	1226
113	157	1221
114	157	1215
115	158	1210
116	159	1204
117	160	1199
118	161	1193
119	161	1187
120	162	1181
121	163	1174
122	163	1168
123	164	1162
124	165	1156
125	165	1149
126	166	1143
127	166	1137
128	167	1132
129	168	1126
130	169	1121
131	169	1115
132	170	1110
133	171	1105
134	171	1099
135	172	1094
136	172	1089
137	173	1084
138	174	1079
139	175	1075
140	175	1071
141	176	1065
142	177	1062
143	178	1058
144	178	1054
145	179	1050
146	180	1046
147	181	1042
148	181	1037
149	182	1033
150	182	1028
151	183	1024
152	184	1019
153	184	1015
154	185	1012
155	186	1007
156	186	1003
157	187	998
158	188	994
159	188	990
160	189	985
161	189	981
162	190	978
163	191	974
164	192	973
165	193	969
166	193	966
167	194	962
168	195	959
169	195	956
170	196	953
171	197	949
172	197	945
173	198	942
174	199	939
175	199	936
176	200	933
177	201	929
178	202	926
179	202	923
180	203	921
181	204	918
182	205	915
183	205	913
184	206	910
185	207	907
186	208	904
187	208	902
188	209	899
189	210	897
190	211	895
191	212	892
192	212	889
193	213	887
194	214	884
195	215	882
196	215	879
197	216	876
198	217	874
199	218	872
200	218	869
201	219	867
202	220	864
203	221	862
204	221	859
205	222	857
206	222	854
207	223	851
208	224	848
209	224	845
210	225	842
